Resistance,l1 (left),l1 (right),l2 (left),l2 (right)
0.1,,,,
0.2,,,,
0.3,98.4,1.6,,
0.4,96.4,3.6,,
0.5,94.9,5.1,1.2,98.8
0.6,93.2,6.8,2.9,97.1
0.7,91.2,8.8,4.8,95.2
0.8,89.5,10.5,6.4,93.6
0.9,85.8,14.2,9.9,90.1
1,84.8,15.2,10.9,89.1
1.1,83.1,16.9,12.6,87.4
1.2,81,19,14.5,85.5
1.3,79.3,20.7,16.2,83.8
1.4,77.2,22.8,18.2,81.8
1.5,75.7,24.3,19.7,80.3
1.6,74,26,21.3,78.7
1.7,71.9,28.1,23.3,76.7
1.8,70.1,29.9,24.9,75.1
1.9,68.1,31.9,26.9,73.1
2,66.4,33.6,28.4,71.6
