,mass A,,
t,x,y,
3.619,-4.921,-9.016
3.636,-4.022,-9.191
3.653,-3.050,-9.252
3.669,-2.016,-9.243
3.686,-1.017,-9.125
3.703,3.362E-2,-8.931
3.719,1.098,-8.669
3.736,2.077,-8.272
3.753,3.059,-7.830
3.769,3.975,-7.308
3.786,4.965,-6.789
3.803,5.824,-6.136
3.819,6.583,-5.410
3.836,7.358,-4.688
3.853,7.934,-3.861
3.869,8.488,-3.009
3.886,8.924,-2.103
3.903,9.198,-1.140
3.920,9.395,-0.168
3.936,9.186,0.936
3.953,9.252,1.836
3.970,9.245,2.733
3.986,9.234,3.540
4.003,9.015,4.294
4.020,8.593,4.955
4.036,8.179,5.679
4.053,7.729,6.378
4.070,7.193,7.026
4.086,6.549,7.610
4.103,5.842,8.118
4.120,5.078,8.527
4.136,4.258,8.861
4.153,3.387,9.106
4.170,2.477,9.280
4.186,1.525,9.343
4.203,0.557,9.305
4.220,-0.370,9.226
4.236,-1.356,8.997
4.253,-2.270,8.711
4.270,-3.235,8.286
4.286,-4.144,7.782
4.303,-5.041,7.200
4.320,-5.880,6.529
4.336,-6.664,5.775
4.353,-7.381,4.939
4.370,-8.065,4.034
4.387,-8.633,3.089
4.403,-9.111,2.122
4.420,-9.493,1.135
4.437,-9.796,0.106
4.453,-9.976,-0.923
4.470,-10.04,-1.891
4.487,-10.07,-2.853
4.503,-9.959,-3.827
4.520,-9.812,-4.718
4.537,-9.526,-5.570
4.553,-9.139,-6.348
4.570,-8.628,-7.050
4.587,-8.052,-7.648
4.603,-7.451,-8.160
4.620,-7.092,-8.411
4.637,-6.267,-8.793
4.653,-5.408,-9.115
4.670,-4.542,-9.346
4.687,-3.624,-9.470
4.703,-2.666,-9.536
4.720,-1.705,-9.469
4.737,-0.806,-9.284
4.753,0.194,-9.046
4.770,1.153,-8.736
4.787,2.083,-8.318
4.803,3.110,-7.850
4.820,3.957,-7.282
4.837,4.929,-6.732
4.854,5.716,-6.017
4.870,6.427,-5.250
4.887,7.140,-4.468
4.904,7.703,-3.627
4.920,8.240,-2.778
4.937,8.653,-1.867
4.954,8.953,-0.900
4.970,8.931,0.179
4.987,8.700,1.291
5.004,8.808,2.185
5.020,8.945,3.031
5.037,8.821,3.878
5.054,8.499,4.586
5.070,8.063,5.259
5.087,7.700,5.993
5.104,7.196,6.667
5.120,6.668,7.295
5.137,6.032,7.865
5.154,5.331,8.344
5.170,4.573,8.752
5.187,3.798,9.071
5.204,2.956,9.301
5.220,2.075,9.422
5.237,1.161,9.428
5.254,0.252,9.382
5.270,-0.664,9.243
5.287,-1.614,8.993
5.304,-2.513,8.657
5.321,-3.363,8.259
5.337,-4.215,7.737
5.354,-5.052,7.106
5.371,-5.858,6.408
5.387,-6.582,5.630
5.404,-7.243,4.780
5.421,-7.868,3.855
5.437,-8.425,2.874
5.454,-8.889,1.878
5.471,-9.215,0.839
5.487,-9.477,-0.191
5.504,-9.651,-1.226
5.521,-9.726,-2.263
5.537,-9.724,-3.246
5.554,-9.622,-4.184
5.571,-9.428,-5.079
5.587,-9.170,-5.918
5.604,-8.703,-6.694
5.621,-8.180,-7.344
5.637,-7.573,-7.925
5.654,-7.840,-8.298
5.671,-6.559,-8.683
5.687,-5.869,-9.021
5.704,-5.085,-9.311
5.721,-4.256,-9.503
5.738,-3.353,-9.623
5.754,-2.469,-9.641
5.771,-1.507,-9.569
5.788,-0.582,-9.377
5.804,0.365,-9.114
5.821,1.341,-8.796
5.838,2.233,-8.340
5.854,3.122,-7.831
5.871,3.981,-7.241
5.888,4.774,-6.603
5.904,5.538,-5.895
5.921,6.257,-5.150
5.938,6.916,-4.359
5.954,7.431,-3.460
5.971,7.873,-2.540
5.988,8.264,-1.617
6.004,8.519,-0.634
6.021,8.615,0.408
6.038,8.366,1.513
6.054,8.451,2.421
6.071,8.374,3.325
6.088,8.262,4.155
6.104,8.033,4.934
6.121,7.587,5.613
6.138,7.157,6.298
6.154,6.720,6.957
6.171,6.179,7.581
6.188,5.554,8.123
6.205,4.873,8.582
6.221,4.134,8.964
6.238,3.340,9.237
6.255,2.537,9.441
6.271,1.694,9.555
6.288,0.817,9.554
6.305,-6.608E-2,9.471
6.321,-0.944,9.289
6.338,-1.788,9.033
6.355,-2.682,8.656
6.371,-3.516,8.212
6.388,-4.305,7.667
6.405,-5.080,7.032
6.421,-5.829,6.325
6.438,-6.496,5.539
6.455,-7.105,4.653
6.471,-7.676,3.699
6.488,-8.174,2.728
6.505,-8.566,1.693
6.521,-8.883,0.645
6.538,-9.087,-0.393
6.555,-9.275,-1.425
6.571,-9.295,-2.462
6.588,-9.258,-3.458
6.605,-9.087,-4.375
6.621,-8.896,-5.277
6.638,-8.599,-6.138
6.655,-8.175,-6.890
6.672,-8.493,-7.475
6.688,-7.965,-8.021
6.705,-6.755,-8.436
6.722,-6.210,-8.835
6.738,-5.473,-9.203
6.755,-4.688,-9.480
6.772,-3.845,-9.664
6.788,-2.964,-9.761
6.805,-2.112,-9.763
6.822,-1.195,-9.662
6.838,-0.305,-9.468
6.855,0.540,-9.158
6.872,1.453,-8.791
6.888,2.304,-8.303
6.905,3.174,-7.787
6.922,3.946,-7.181
6.938,4.710,-6.533
6.955,5.427,-5.789
6.972,6.091,-5.014
6.988,6.703,-4.208
7.005,7.170,-3.274
7.022,7.545,-2.313
7.038,7.859,-1.334
7.055,7.485,-0.107
7.072,7.681,0.867
7.088,7.760,1.829
7.105,7.948,2.710
7.122,7.948,3.582
7.139,7.816,4.447
7.155,7.534,5.216
7.172,7.116,5.901
7.189,6.671,6.580
7.205,6.179,7.223
7.222,5.644,7.822
7.239,5.028,8.348
7.255,4.384,8.796
7.272,3.700,9.167
7.289,2.934,9.427
7.305,2.159,9.598
7.322,1.327,9.667
7.339,0.481,9.634
7.355,-0.362,9.515
7.372,-1.192,9.325
7.389,-2.045,9.072
7.405,-2.866,8.672
7.422,-3.660,8.202
7.439,-4.422,7.618
7.455,-5.143,6.964
7.472,-5.856,6.223
7.489,-6.475,5.396
7.505,-7.053,4.495
7.522,-7.570,3.518
7.539,-8.020,2.506
7.555,-8.394,1.478
7.572,-8.644,0.404
7.589,-8.843,-0.643
7.606,-8.977,-1.706
7.622,-9.046,-2.744
7.639,-8.987,-3.740
7.656,-8.800,-4.688
7.672,-8.501,-5.567
7.689,-8.176,-6.408
7.706,-7.780,-7.119
7.722,-8.108,-7.705
7.739,-7.610,-8.222
7.756,-6.490,-8.662
7.772,-5.853,-9.064
7.789,-5.050,-9.437
7.806,-4.314,-9.703
7.822,-3.467,-9.892
7.839,-2.667,-9.958
7.856,-1.864,-9.899
7.872,-1.035,-9.768
7.889,-0.137,-9.565
7.906,0.710,-9.242
7.922,1.544,-8.830
7.939,2.333,-8.313
7.956,3.160,-7.758
7.972,3.876,-7.121
7.989,4.625,-6.438
8.006,5.306,-5.684
8.022,5.861,-4.859
8.039,6.457,-4.007
8.056,6.856,-3.061
8.073,7.223,-2.120
8.089,7.529,-1.134
8.106,7.740,-0.133
8.123,7.395,1.028
8.139,7.436,1.995
8.156,7.498,2.911
8.173,7.437,3.808
8.189,7.349,4.642
8.206,7.049,5.474
8.223,6.604,6.127
8.239,6.121,6.786
8.256,5.672,7.423
8.273,5.115,8.014
8.289,4.522,8.537
8.306,3.887,8.966
8.323,2.455,9.551
8.339,1.690,9.714
8.356,0.907,9.767
8.373,0.109,9.720
8.389,-0.705,9.581
8.406,-1.483,9.384
8.423,-2.277,9.082
8.439,-3.042,8.658
8.456,-3.761,8.186
8.473,-4.477,7.591
8.490,-5.176,6.930
8.506,-5.819,6.176
8.523,-6.400,5.329
8.540,-6.970,4.411
8.556,-7.490,3.439
8.573,-7.918,2.419
8.590,-8.285,1.369
8.606,-8.557,0.295
8.623,-8.715,-0.759
8.640,-8.753,-1.828
8.656,-8.693,-2.884
8.673,-8.627,-3.880
8.690,-8.438,-4.830
8.706,-8.236,-5.694
8.723,-8.463,-6.436
8.740,-8.085,-7.147
8.756,-7.646,-7.778
8.773,-7.049,-8.306
8.790,-5.865,-8.797
8.806,-5.274,-9.193
8.823,-4.638,-9.517
8.840,-3.913,-9.767
8.856,-3.140,-9.921
8.873,-2.363,-9.991
8.890,-1.615,-9.930
8.906,-0.786,-9.804
8.923,6.625E-2,-9.561
8.940,0.913,-9.237
8.957,1.678,-8.827
8.973,2.439,-8.309
8.990,3.171,-7.723
9.007,3.864,-7.091
9.023,4.521,-6.374
9.040,5.153,-5.598
9.057,5.696,-4.740
9.073,6.197,-3.890
9.090,6.578,-2.957
9.107,6.912,-1.979
9.123,7.179,-0.970
9.140,7.363,3.183E-2
9.157,6.931,1.198
9.173,7.048,2.158
9.190,7.013,3.101
9.207,7.007,3.975
9.223,6.811,4.863
9.240,6.558,5.683
9.257,6.173,6.372
9.273,5.692,7.010
9.290,5.211,7.596
9.307,4.671,8.178
9.323,4.082,8.688
9.340,3.454,9.089
9.357,2.773,9.408
9.373,2.069,9.648
9.390,1.337,9.784
9.407,0.589,9.809
9.424,-0.190,9.751
9.440,-0.964,9.597
9.457,-1.734,9.332
9.474,-2.513,9.024
9.490,-3.175,8.651
9.507,-3.924,8.126
9.524,-4.577,7.542
9.540,-5.198,6.849
9.557,-5.814,6.058
9.574,-6.359,5.204
9.590,-6.875,4.287
9.607,-7.329,3.295
9.624,-7.721,2.265
9.640,-8.035,1.181
9.657,-8.297,0.114
9.674,-8.413,-0.951
9.690,-8.468,-2.012
9.707,-8.462,-3.053
9.724,-8.404,-4.058
9.740,-8.205,-5.012
9.757,-8.338,-5.844
9.774,-8.036,-6.627
9.790,-7.664,-7.333
9.807,-7.211,-7.937
9.824,-6.679,-8.461
9.840,-5.536,-8.950
9.857,-4.933,-9.364
9.874,-4.301,-9.697
9.891,-3.603,-9.924
9.907,-2.903,-10.06
9.924,-2.173,-10.09
9.941,-1.407,-10.02
9.957,-0.493,-9.884
9.974,0.283,-9.623
9.991,1.053,-9.280
10.007,1.784,-8.854
10.024,2.476,-8.322
10.041,3.197,-7.716
10.057,3.791,-7.036
10.074,4.436,-6.323
10.091,5.043,-5.558
10.107,5.512,-4.666
10.124,5.978,-3.777
10.141,6.366,-2.876
10.157,6.639,-1.879
10.174,6.861,-0.833
10.191,6.985,0.187
10.207,6.597,1.328
10.224,6.672,2.281
10.241,6.560,3.227
10.257,6.567,4.136
10.274,6.361,5.026
10.291,6.059,5.826
10.307,5.622,6.444
10.324,5.166,7.107
10.341,4.689,7.719
10.358,4.155,8.295
10.374,3.583,8.782
10.391,2.976,9.191
10.408,2.330,9.503
10.424,1.634,9.714
10.441,0.941,9.843
10.458,0.210,9.849
10.474,-0.501,9.774
10.491,-1.229,9.606
10.508,-1.962,9.356
10.524,-2.686,9.045
10.541,-3.379,8.592
10.558,-3.955,8.105
10.574,-4.610,7.485
10.591,-5.192,6.790
10.608,-5.770,5.992
10.624,-6.270,5.127
10.641,-6.734,4.199
10.658,-7.160,3.200
10.674,-7.473,2.160
10.691,-7.761,1.069
10.708,-7.954,-1.369E-2
10.724,-8.060,-1.078
10.741,-8.095,-2.164
10.758,-8.084,-3.211
10.774,-8.326,-4.161
10.791,-8.165,-5.099
10.808,-7.933,-5.972
10.825,-7.569,-6.747
10.841,-7.182,-7.461
10.858,-5.974,-8.141
10.875,-5.638,-8.626
10.891,-5.007,-9.138
10.908,-4.437,-9.533
10.925,-3.848,-9.827
10.941,-3.202,-10.05
10.958,-2.515,-10.18
10.975,-1.849,-10.19
10.991,-1.126,-10.11
11.008,-0.399,-9.931
11.025,0.399,-9.663
11.041,1.098,-9.289
11.058,1.879,-8.880
