Voltage (V),Current (mA),Current (A)
0.02,0,0
0.04,0,0
0.15,0,0
0.25,0,0
0.33,0,0
0.43,0,0
0.44,0,0
0.51,0,0
0.61,0,0
0.76,0,0
0.88,0,0
0.97,0,0
1.07,0,0
1.14,0,0
1.24,0,0
1.32,0,0
1.43,0,0
1.5,0,0
1.68,0,0
1.77,0,0
1.87,0,0
1.98,0,0
2.05,0,0
2.13,0,0
2.23,0,0
2.35,0,0
2.46,0,0
2.62,0,0
2.75,0,0
2.82,0,0
2.95,0,0
3.1,0,0
3.35,0,0
