Voltage (V),Current (mA),Current (A)
0.016,0.014,0.000014
0.145,0.13,0.00013
0.276,0.249,0.000249
0.38,0.344,0.000344
0.459,0.415,0.000415
0.555,0.501,0.000501
0.677,0.611,0.000611
0.761,0.688,0.000688
0.853,0.774,0.000774
0.955,0.863,0.000863
1.087,0.982,0.000982
1.186,1.072,0.001072
1.249,1.129,0.001129
1.322,1.195,0.001195
1.411,1.276,0.001276
1.559,1.418,0.001418
1.665,1.505,0.001505
1.738,1.575,0.001575
1.835,1.66,0.00166
1.936,1.752,0.001752
2.01,1.822,0.001822
